name,phone,email,remark,address,Product Name,Lead Interest,Lead Status,Lead Reference,State,Created By,Assigned To,usercode,createdon,isdeleted
Mr. Matthew Nagi,+910778859,matthew.nagi619@mailserver.org,Information given price pitched 28 000. Client said he will call back.,,Cell Track,High,Open,Website,Tamil Nadu,Sonal Athawale,Sonal Athawale,,9/19/2025,0
Mr. Damyanti Gandhi,0274506099,damyanti.gandhi52@business.in,Information given. Price told Rs.28k. Client said that send me quotation for the same.,,CDR Analysis Software,High,Open,Referral,Gujarat,Sonal Athawale,Suraj Darade,,9/30/2025,0
Mrs. Isaac Loke,+914058349,isaac.loke648@mailserver.org,Information given price pitched 28 000. Client said he will call on next week.,,SDR,High,Open,Marketing,Maharashtra ,Pravin Vhatkar,Suraj Darade,,9/9/2025,0
Ms. Ridhi Agate,0596861744,ridhi.agate903@example.com,Information given. Price told Rs. 28 000. Client said that he will callback for the same.,,SDR,High,Open,Marketing,Goa,Suraj Darade,Pravin Vhatkar,,9/21/2025,0
Mrs. Vansha Kanda,9395405457,vansha.kanda927@business.in,Information given. Price told Rs.28k. Client said that i will call you back after some time.,,CDR Analysis Software,Medium,Open,Webinar,Punjab,Pravin Vhatkar,Suraj Darade,,9/24/2025,0
Mr. Isaiah Nair,0923768582,isaiah.nair207@example.com,Information given. Price told Rs. 18k. Client said that he will callback for the same.,,"CDR Analysis Software,SDR",Medium,Open,Website,Karnataka ,Sonal Athawale,Pravin Vhatkar,,9/24/2025,0
Mr. Yutika Ghose,+912278173,yutika.ghose611@mailserver.org,Information given price pitched 28k. Client said he will call on next week.,,"CDR Analysis Software,SDR",High,Open,Marketing,Delhi & NCR,Suraj Darade,Suraj Darade,,9/22/2025,0
Mrs. Onveer Pingle,+915715509,onveer.pingle871@example.com,Information given. Price pitched 28 000. The client said he will let us know.,,CDR Analysis Software,High,Open,Referral,Delhi & NCR,Pravin Vhatkar,Sonal Athawale,,9/30/2025,0
Mr. Devika Sha,4814661050,devika.sha458@business.in,Information given. Price told Rs.33 000. Client said that send me quotation for the same.,,"CDR Analysis Software,Cell Track",High,Open,Referral,Goa,Sonal Athawale,Suraj Darade,,9/19/2025,0
Mr. Jackson Nayak,3503151144,jackson.nayak486@example.com,Information given price pitched 18 000. Client said he will call back.,,CDR Analysis Software,High,Open,Referral,Bihar & Jharkhand,Suraj Darade,Sonal Athawale,,9/20/2025,0
